route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,objective_value
55,18:56:00,0.4,1000,700,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.0573430061340332,1.0791068077087402,0.0,16621.419
195,07:09:00,0.4,1000,700,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.021406888961791992,0.009306907653808594,0.0,6832.140000000001
196,16:23:30,0.4,1000,700,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.00882101058959961,0.02123713493347168,0.0,8929.946
199,16:04:00,0,1000,700,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.0733187198638916,0.18454790115356445,0.0,15302.023510617044
192,14:50:30,0.2,1000,700,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.05301308631896973,0.1391758918762207,0.0,15904.5
195,07:09:00,1,1000,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.0110321044921875,0.0018148422241210938,0.0,4364.929000000002
196,09:57:30,0.4,1000,700,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.00281524658203125,0.0013971328735351562,0.0,802.2799999999988
155,07:44:30,0.2,1000,700,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.06794595718383789,0.03503608703613281,0.0,16522.731
55,15:58:00,0.4,1000,700,9,10,71,50,28,32,48,23,18,32,4126.0,13052.034825117442,0.061998844146728516,0.034739017486572266,0.0,9947.96611268328
196,16:23:30,0.2,1000,700,3,4,29,22,17,9,11,18,13,9,1954.0,8481.369999999999,0.011266946792602539,0.09139513969421387,0.0,9518.630000000001
195,07:09:00,0,1000,700,1,2,48,38,27,13,15,33,25,13,2514.0,10919.939,0.10486197471618652,0.23562908172607422,0.0,22080.061
199,16:04:00,1,1000,700,19,20,43,18,24,14,24,19,4,14,3025.0,12511.964999999998,0.00812530517578125,0.002480030059814453,0.0,6488.035000000002
195,07:09:00,0.2,1000,700,4,5,48,35,25,15,22,26,20,15,2514.0,10751.147999999986,0.04047203063964844,0.1826620101928711,0.0,15248.851999999975
196,09:57:30,0.2,1000,700,3,4,15,16,17,3,4,11,13,3,2020.0,8184.095,0.003749847412109375,0.00830698013305664,0.0,2815.9049999999997
155,07:44:30,0.4,1000,700,5,6,45,30,17,19,25,20,11,19,1926.0,8149.008000000002,0.035494089126586914,0.019330978393554688,0.0,11850.991999999998
55,15:58:00,0.2,1000,700,4,5,71,53,34,24,32,39,29,24,4126.0,15916.992,0.08444595336914062,0.06881403923034668,0.0,23083.008
192,14:50:30,0.4,1000,700,6,7,53,36,24,19,29,24,17,19,2118.0,9008.505000000001,0.02439713478088379,0.012582063674926758,0.0,14991.494999999999
194,15:17:30,1,1000,700,22,23,48,17,25,15,25,23,2,15,2343.0,9042.614999999998,0.008340120315551758,0.0013260841369628906,0.0,13957.385000000002
185,15:27:00,1,1000,700,17,18,26,18,23,13,20,6,5,13,2113.0,8614.527999999998,0.004531145095825195,0.001013040542602539,0.0,-2614.5279999999984
198,10:24:30,0,1000,700,1,2,17,17,9,10,10,7,7,10,790.0,3510.5789999999997,0.00983285903930664,0.006113767623901367,0.0,3489.4210000000003
191,07:22:00,0,1000,700,1,2,31,24,15,11,16,15,13,11,1387.0,6152.289734896126,0.028913021087646484,0.021178007125854492,0.0,8847.710265103718
195,13:21:00,0,1000,700,1,2,40,42,27,17,17,23,25,17,2556.0,11374.161000000002,0.10894179344177246,0.3764231204986572,0.0,11625.838999999998
194,15:17:30,0.2,1000,700,4,5,48,28,22,11,22,26,17,11,2356.8992931281246,10297.189999999999,0.027650117874145508,0.004394054412841797,0.0,15702.810000000001
198,19:44:00,0.4,1000,700,3,4,23,13,11,6,8,15,7,6,929.594890837514,3879.101,0.003911733627319336,0.003921985626220703,0.0,11120.899
191,13:41:30,0,1000,700,1,2,23,18,10,10,12,11,8,10,1422.0,6109.509684128704,0.01335000991821289,0.010680198669433594,0.0,4890.490315871296
198,10:24:30,0.4,1000,700,3,4,17,15,9,10,14,3,5,10,747.0,3225.6719999999996,0.004047870635986328,0.0017619132995605469,0.0,-225.67199999999957
155,07:44:30,1,1000,700,12,13,45,24,15,22,32,13,2,22,1868.0,7659.410000000001,0.008045196533203125,0.0013921260833740234,0.0,5340.589999999999
155,07:44:30,0,1000,700,1,2,45,34,21,15,16,29,19,15,1926.0,8514.778,0.08006691932678223,0.02981400489807129,0.0,20485.222
191,13:41:30,1,1000,700,14,15,23,11,15,11,18,5,0,11,1422.0,5202.024684128705,0.002753019332885742,0.0004601478576660156,0.0,-202.0246841287053
198,10:24:30,0.2,1000,700,2,3,17,16,9,10,14,3,6,10,747.0,3225.672,0.004765033721923828,0.0036420822143554688,0.0,-225.6719999999782
198,10:24:30,1,1000,700,7,8,17,12,9,11,15,2,1,11,790.0,2855.7120000000004,0.0019998550415039062,0.0005848407745361328,0.0,-855.7120000000004
195,13:21:00,1,1000,700,22,23,40,27,26,24,30,10,3,24,2468.0,9746.443,0.009389162063598633,0.001886129379272461,0.0,253.5570000000007
191,07:22:00,1,1000,700,13,14,31,14,16,12,22,9,2,12,1387.0,5095.854734896091,0.003924846649169922,0.0006132125854492188,0.0,3904.145265103909
194,15:17:30,0,1000,700,1,2,48,31,24,9,14,34,22,9,2381.9999999999927,10639.332000000002,0.07188677787780762,0.051931142807006836,0.0,23360.667999999998
198,19:44:00,0.2,1000,700,1,2,23,15,11,6,7,16,9,6,946.0,3955.6100000000006,0.00967717170715332,0.008179903030395508,0.0,12044.39
194,15:17:30,0.4,1000,700,9,10,48,25,22,13,24,24,12,13,2343.0,9398.907,0.011276960372924805,0.004209995269775391,0.0,14601.093
185,15:27:00,0,1000,700,1,2,26,29,19,12,11,15,17,12,2159.0,9285.613440251229,0.03540515899658203,0.04849505424499512,0.0,5714.3876804485735
195,13:21:00,0.2,1000,700,4,5,40,40,23,22,21,19,18,22,2468.0,10616.565999999999,0.042256832122802734,0.1720888614654541,0.0,8383.434000000001
194,07:10:00,0.2,1000,700,4,5,51,33,24,14,15,36,19,14,2369.1220472440946,10220.586,0.03536796569824219,0.06511688232421875,0.0,25779.414
55,15:58:00,0,1000,700,1,2,71,56,45,13,15,56,43,13,4074.0,18159.206,0.32097601890563965,0.17123818397521973,0.0,37840.794
199,13:24:30,0,1000,700,1,2,30,33,25,10,9,21,23,10,3030.0,13456.511999999999,0.05306816101074219,0.09918880462646484,0.0,7543.488000000001
196,09:57:30,1,1000,700,14,15,15,10,18,7,10,5,3,7,1956.0,7688.5470000000005,0.0022430419921875,0.0010979175567626953,0.0,-2688.5470000000005
185,07:21:00,1,1000,700,28,29,89,35,33,31,51,38,4,31,3435.0,13574.43,0.021971940994262695,0.0019240379333496094,0.0,24425.57
191,07:22:00,0.2,1000,700,2,3,31,24,16,11,19,12,13,11,1358.0,5757.66873489609,0.01682305335998535,0.04690098762512207,0.0,6242.33126510391
199,16:04:00,0.4,1000,700,8,9,43,27,24,12,19,24,15,12,3025.0,12900.686,0.02393198013305664,0.060912132263183594,0.0,11099.314
193,13:30:30,1,1000,700,14,15,48,22,16,21,34,14,1,21,1565.0,6125.9890000000005,0.010587930679321289,0.001580953598022461,0.0,7874.0109999999995
193,13:30:30,0.2,1000,700,3,4,48,30,16,18,29,19,12,18,1589.0,7001.405000000022,0.05379295349121094,0.0330350399017334,0.0,11998.594999999976
199,13:24:30,0.2,1000,700,4,5,30,30,20,15,17,13,15,15,2990.0,11984.777999999998,0.013775110244750977,0.014037132263183594,0.0,1015.2220000000016
192,14:50:30,1,1000,700,14,15,53,30,22,23,38,15,7,23,2090.0,8393.471,0.013714313507080078,0.0023779869079589844,0.0,6606.529
187,16:47:00,0.4,1000,700,12,13,43,44,35,22,21,22,22,22,3299.4557981388716,14354.793,0.03296923637390137,0.02621603012084961,0.0,7645.207
187,13:47:00,1,1000,700,29,30,38,27,35,22,21,17,5,22,3294.0,12707.103000000003,0.010023117065429688,0.0014259815216064453,0.0,4292.896999999997
185,07:21:00,0.2,1000,700,5,6,89,54,39,21,28,61,33,21,3527.0,15555.145,0.11106610298156738,0.10148501396179199,0.0,45444.854999999996
191,13:41:30,0.4,1000,700,6,7,23,14,11,10,15,8,4,10,1381.0,5766.575684128705,0.0048198699951171875,0.002370119094848633,0.0,2233.424315871295
187,13:47:00,0,1000,700,1,2,38,44,34,12,9,29,32,12,3338.0,14461.387999999999,0.11442804336547852,0.18287396430969238,0.0,14538.612000000001
191,07:22:00,0.4,1000,700,5,6,31,21,14,13,21,10,8,13,1358.0,5423.882734896091,0.0077588558197021484,0.004343986511230469,0.0,4576.117265103909
199,16:04:00,0.2,1000,700,4,5,43,30,23,12,16,27,18,12,3069.0,13207.301000000001,0.04094529151916504,0.07590794563293457,0.0,13792.698999999999
195,13:21:00,0.4,1000,700,9,10,40,36,22,24,25,15,12,24,2468.0,9517.533000000001,0.02223801612854004,0.021136999130249023,0.0,5482.466999999999
194,07:10:00,0.4,1000,700,9,10,51,29,24,15,18,33,14,15,2369.1220472440946,9920.453999999998,0.02905893325805664,0.05758404731750488,0.0,23079.546000000002
192,14:50:30,0,1000,700,1,2,53,40,21,21,24,29,19,21,2118.0,9385.818,0.12735986709594727,0.3071000576019287,0.0,19614.182
185,07:21:00,0,1000,700,1,2,89,58,41,19,25,64,39,19,3527.0,15636.570365722579,0.4236259460449219,0.2598137855529785,0.0,48363.43051361482
196,09:57:30,0,1000,700,1,2,15,18,17,3,2,13,15,3,1990.4809413027906,8898.246,0.009229660034179688,0.08459806442260742,0.0,4101.754000000001
193,13:30:30,0,1000,700,1,2,48,32,16,18,23,25,14,18,1583.6193746381978,7079.412052382613,0.07659697532653809,0.04530501365661621,0.0,17920.588044009488
185,07:21:00,0.4,1000,700,11,12,89,48,39,21,34,55,27,21,3527.0,15337.58299999999,0.07260799407958984,0.07157111167907715,0.0,39662.41699999994
191,13:41:30,0.2,1000,700,3,4,23,17,12,9,12,11,8,9,1422.0,6109.509684128705,0.007944107055664062,0.00549006462097168,0.0,4890.490315871295
193,13:30:30,0.4,1000,700,6,7,48,28,17,18,30,18,10,18,1569.2321045096614,6737.3240000000005,0.020659923553466797,0.007860183715820312,0.0,11262.676
199,13:24:30,0.4,1000,700,8,9,30,27,21,15,17,13,12,15,3030.0,11984.777999999998,0.011516809463500977,0.010708093643188477,0.0,1015.2220000000016
199,13:24:30,1,1000,700,19,20,30,20,24,16,18,12,4,16,2990.0,12192.131999999998,0.005755186080932617,0.0014219284057617188,0.0,-192.1319999999978
187,16:47:00,0.2,1000,700,6,7,43,47,37,17,17,26,30,17,3338.0,14712.669,0.0383601188659668,0.0204010009765625,0.0,11287.331
55,15:58:00,1,1000,700,22,23,71,40,27,36,55,16,4,36,4074.0,15644.422000000002,0.029466867446899414,0.002081155776977539,0.0,355.5779999999977
187,16:47:00,1,1000,700,29,30,43,34,37,27,27,16,7,27,3294.0,13123.513999999997,0.012717008590698242,0.0015749931335449219,0.0,2876.4860000000026
185,15:27:00,0.2,1000,700,3,4,26,27,19,12,13,13,15,12,2159.0,9252.3,0.016644001007080078,0.04074716567993164,0.0,3747.7000000000007
192,08:28:00,0.4,1000,700,5,6,33,25,15,16,15,18,9,16,1991.0,8368.284,0.010236740112304688,0.012794971466064453,0.0,9631.716
55,18:56:00,1,1000,700,27,28,58,34,33,29,37,21,5,29,5139.0,19680.796000000002,0.015717029571533203,0.002299070358276367,0.0,1319.203999999998
193,08:16:30,0.4,1000,700,5,6,43,25,16,15,22,21,10,15,1472.0,6100.402,0.016404151916503906,0.004302978515625,0.0,14899.598
198,19:44:00,1,1000,700,7,8,23,9,10,7,11,12,2,7,946.0,3464.248,0.0020678043365478516,0.0009491443634033203,0.0,8535.752
155,13:50:00,1,1000,700,14,15,32,21,17,19,24,8,2,19,1607.0,6196.468000000001,0.005689144134521484,0.0010669231414794922,0.0,1803.5319999999992
187,13:47:00,0.2,1000,700,6,7,38,41,32,16,13,25,25,16,3338.0,13294.3,0.032536983489990234,0.011424064636230469,0.0,11705.7
196,16:23:30,0,1000,700,1,2,29,23,20,5,5,24,18,5,2060.0,8826.838999999998,0.02599930763244629,0.8641839027404785,0.0,15173.161000000002
194,07:10:00,0,1000,700,1,2,51,36,25,13,14,37,23,13,2372.0,10407.921,0.09992408752441406,0.24494600296020508,0.0,26592.078999999998
192,08:28:00,1,1000,700,12,13,33,18,16,15,16,17,3,15,1966.275724767358,7896.714000000001,0.005673408508300781,0.0010921955108642578,0.0,9103.286
155,13:50:00,0.2,1000,700,3,4,32,26,16,14,17,15,12,14,1646.0,6856.992,0.019613981246948242,0.022934913635253906,0.0,8143.008
193,08:16:30,1,1000,700,13,14,43,18,14,18,32,11,0,18,1444.0,5418.034000000001,0.006846904754638672,0.0006210803985595703,0.0,5581.965999999999
196,16:23:30,1,1000,700,14,15,29,14,17,12,21,8,2,12,1954.0,7484.485000000001,0.004814863204956055,0.0011248588562011719,0.0,515.5149999999994
155,13:50:00,0,1000,700,1,2,32,28,18,12,14,18,16,12,1645.2471772763165,7354.912981296056,0.06684184074401855,0.021874189376831055,0.0,10645.087018703725
193,08:16:30,0,1000,700,1,2,43,29,17,14,21,22,15,14,1472.0,6423.114,0.056633710861206055,0.04789900779724121,0.0,15576.886
192,08:28:00,0,1000,700,1,2,33,29,18,13,12,21,16,13,1991.0,8808.143,0.04413890838623047,0.14246511459350586,0.0,12191.857
194,07:10:00,1,1000,700,22,23,51,19,26,16,28,23,3,16,2334.0,8928.65,0.008790016174316406,0.0010921955108642578,0.0,14071.35
198,19:44:00,0,1000,700,1,2,23,15,11,6,7,16,9,6,946.0,3955.6100000000006,0.009534835815429688,0.0068280696868896484,0.0,12044.39
185,15:27:00,0.4,1000,700,7,8,26,25,18,15,17,9,10,15,2127.43450250537,8830.391999999996,0.008637189865112305,0.0032439231872558594,0.0,169.6080000000038
192,08:28:00,0.2,1000,700,2,3,33,28,19,12,12,21,16,12,1991.0,8808.142999999998,0.026319026947021484,0.041185855865478516,0.0,12191.857
187,13:47:00,0.4,1000,700,12,13,38,36,29,20,17,21,16,20,3314.5207140300627,12577.065999999999,0.02110886573791504,0.008050203323364258,0.0,8422.934000000001
55,18:56:00,0,1000,700,1,2,58,52,43,11,11,47,41,11,5139.0,22551.705,0.22946405410766602,0.5515930652618408,0.0,24448.295
155,13:50:00,0.4,1000,700,6,7,32,24,16,15,20,12,9,15,1607.0,6894.880999999999,0.010272979736328125,0.016808032989501953,0.0,5105.119000000001
193,08:16:30,0.2,1000,700,2,3,43,28,17,14,21,22,14,14,1472.0,6494.521999999999,0.03557896614074707,0.014015913009643555,0.0,15505.478000000001
187,16:47:00,0,1000,700,1,2,43,52,37,17,17,26,35,17,3338.0,14712.669,0.1739499568939209,1.789881944656372,0.0,11287.331
